,production_budget_usd,worldwide_Gross_usd
0,110000,11000000
2,200000,8000000
3,100000,3000000
4,245000,22000000
5,3900000,9000000
7,379000,4358000
9,558000,900000
10,672000,10000650
11,200000,2000000
12,439000,2281000
13,325000,2500000
14,609000,3202000
15,1500000,165049
16,1300000,5273000
18,1488000,184925485
19,2000000,4000000
20,1644000,4000000
21,1500000,9000000
22,2777000,33754967
23,3900000,390525192
24,2000000,9172000
25,1288000,6000000
26,2280000,83320000
28,858000,268000000
29,134000,8000000
30,1039000,10462500
31,2627000,5363000
32,2361000,3500000
33,5200000,2000000
34,2160000,9132000
35,1250000,11000000
36,1500000,7000000
37,3180000,9576159
38,2000000,24464742
39,2100000,23600000
40,6000000,20400000
41,2000000,7800000
42,3700000,2956000
43,3000000,9012000
44,1600000,5400000
45,1000000,7800000
46,2900000,263591415
47,3768785,8000000
48,8250000,30022000
49,1200000,7000000
51,1800000,8000000
52,2300000,11000000
53,730000,8000000
54,4000000,36000000
55,2540000,7200000
56,1250000,2500000
57,4000000,87400000
58,1650000,30500000
59,210000,5000000
60,5000000,36000000
61,658000,23800000
62,5000000,15000000
63,910000,9600000
64,5000000,28200000
65,1200000,7000000
67,6000000,12500000
68,4500000,10400000
69,4000000,14400000
70,1000000,9000000
71,3380000,3220
72,13500000,80000000
73,6000000,42000000
74,500000,271736
76,1200000,2000000
77,5000000,11014685
79,3000000,33300000
80,3000000,17570324
81,5000000,11000000
82,3500000,12800000
83,2883848,25000000
84,15000000,73000000
85,4000000,21750000
86,3000000,24600000
87,3000000,10400000
88,12000000,60000000
89,12000000,7900000
90,4000000,8200000
91,3000000,10000000
92,2900000,5000000
93,2000000,7600000
94,6000000,43700000
95,3200000,8000000
96,2000000,9250000
97,10000000,50100000
98,19000000,13680000
99,4500000,3500000
100,15000000,69995385
101,2000000,13129846
102,17000000,10000000
103,2686000,6600000
104,2500000,10000000
105,1000000,37600000
106,9400000,60000000
107,1000000,59567035
108,4000000,11744471
109,42000000,71000000
110,19000000,4750000
111,1800000,9164370
112,2000000,78900000
113,6000000,102300000
114,17000000,72070955
115,560000,1597233
116,3000000,124900000
117,8200000,286214286
118,20000000,15473333
119,5800000,6800000
120,3800000,14873
121,11000000,111859493
122,9000000,141200000
123,3500000,12000000
124,3000000,13000000
125,15000000,34562222
126,3900000,28350000
127,3500000,13007551
128,200000,3500000
129,2000000,24391108
130,12000000,41744718
131,9500000,111600000
132,600000,4300000
133,1200000,6100000
134,1455000,2620000
135,114000,30000000
136,10500000,68700000
137,1800000,6800000
138,747000,44566
139,5800000,33395426
141,10000000,37402877
142,3200000,33395426
143,20000000,8000000
144,3600000,44785053
145,5000000,5321508
146,6000000,509424
147,200000,25000000
148,20000000,31678778
149,6000000,102308900
150,24000000,33208099
151,8000000,82000000
152,4000000,6000000
154,22000000,5000000
155,12000000,62500000
156,11000000,2200000
157,3500000,81600000
158,1000000,9000000
159,600000,34505110
160,3716946,5000000
161,3000000,17489009
162,18000000,24911670
163,25000000,29548291
164,9000000,80500000
165,6500000,12376563
166,2500000,12300000
167,150000,15200000
169,3000000,4000000
170,2200000,41158757
171,7200000,116000000
172,1700000,9700000
173,7000000,268500000
174,3500000,12600000
175,25000,45000000
176,87000,3100000
178,2000000,18016290
179,1800000,8800000
180,4638783,11000000
181,7000000,161800000
182,5500000,15700000
183,777000,140000000
184,2000000,18344729
185,5500000,159616327
186,12000000,400214478
187,2600000,119500000
188,7000000,26533200
189,1600000,4420000
190,140000,26572439
191,13000000,57300000
192,500000,31559560
193,2800000,86300000
194,14000000,139700000
195,4000000,15000000
196,7000000,97600000
197,11000000,20169934
199,5000000,41833347
200,12000000,470700000
201,1200000,140556781
202,400000,5028948
203,3000000,20123742
204,4400000,108981275
205,7000000,25000000
206,3800000,23689877
207,1200000,887000
208,4400000,36145695
209,2800000,48570885
210,1000000,28316211
211,3000000,13200000
212,5000000,8000000
213,1800000,25878153
214,1000000,225000000
215,23000000,90614445
216,500000,17000000
217,100000,7012524
218,10000000,36000000
219,4000000,38251425
220,7000000,1000000
221,11000000,786598007
222,26000000,50800000
223,14000000,25011000
224,14000000,13800000
225,21600000,12000000
226,14000000,185400000
227,600000,20000000
229,20000000,337700000
230,3400000,31063038
231,14000000,1000000
232,12000000,19000000
233,3000000,32653000
234,11000000,20388920
235,20000000,208900376
236,6000000,387513770
237,15000000,98800000
238,3000000,141600000
239,3000000,3660880
240,325000,70000000
241,24000000,13000000
242,55000000,300200000
243,5000000,7100000
244,15000000,50000000
245,6000000,391942
246,1500000,55000000
247,12500000,7000000
248,9000000,203630630
249,12000000,22673340
250,8000000,76657000
251,8000000,43000000
252,31000000,210300000
253,170000,14000
254,8500000,29200000
255,35000000,139000000
256,31500000,81250488
257,4000000,20008693
258,2700000,37799643
259,16000000,8400000
260,32000000,94875000
261,20000000,35841901
262,35000000,1500000
263,6500000,31899000
264,3500000,8000000
265,350000,10000000
266,1000000,21378361
267,40000000,7000000
268,5100000,9709597
269,5000000,26010864
270,200000,99750000
271,3500000,83453539
272,35000000,27107960
273,10000000,15198912
274,400000,89134
275,23000000,534171960
276,19000000,44391156
277,5500000,4865000
278,22000000,15716828
279,27000000,57229890
280,20000000,2000000
281,4500000,47923795
282,15000000,67182787
283,6000000,39846344
284,550000,59754601
285,6000000,52302978
286,100000,287000
287,15000000,69847348
288,18000000,23380203
289,44000000,3484523
290,20000000,49823037
291,17000000,2110050
292,250000,23894000
293,12000000,44200000
294,33500000,50000000
295,1250000,21722776
296,18000000,13400000
297,6500000,42488161
298,12000000,37400000
299,54000000,108185706
300,28000000,195300000
301,18000000,6000000
302,10000000,85300000
303,9300000,19571091
304,18000000,13747234
305,20000000,18826490
306,3000000,5732587
307,14000000,35856053
308,5000000,25032000
309,5500000,57467731
310,5000000,19600000
311,1000000,17985000
312,6000000,25244700
313,2500000,25533818
314,10000000,11400000
315,12000000,2104164
316,20000000,389925971
317,15000000,44400000
318,11000000,31672000
319,10000000,6000000
320,8000000,24474312
321,13500000,6118683
322,12500000,21000000
323,5000000,12592907
324,5000000,20659423
325,4000000,109492484
326,12000000,95800000
327,10700000,121706019
328,20000000,79114085
329,2000000,24600832
330,21000000,45785720
331,28000000,33139618
332,18000000,5675599
333,20500000,69701637
334,22000000,127767889
335,16000000,53977250
336,4500000,27092880
337,2250000,36690067
338,5000000,10751126
339,3250000,6965361
340,5000000,3707583
341,17000000,26918576
342,46000000,4408636
343,12000000,84970337
344,8000000,20036244
345,14000000,125212904
346,2500000,14400000
347,10500000,792965326
348,1200000,255000
349,12500000,20959585
350,15000000,177200000
351,400000,126387
352,10100000,10143618
353,12000000,74433837
354,10000000,25697647
355,5952000,2120439
356,7000000,201463574
357,5000000,12232628
358,375000,29400000
359,32500000,572705079
360,39000000,59950623
361,10000000,29500000
362,36000000,160000000
363,15000000,61400000
364,7000000,1246141
365,1305000,909000
366,25000000,44942821
367,15000000,8921050
368,27500000,187500000
369,27000000,21500000
370,10000000,20766000
371,8000000,589308
372,12000000,39012241
373,3250000,20605209
374,30000000,5564014
375,18000000,87000000
376,1500000,2300000
377,8200000,80000000
378,9000000,13075390
379,4500000,81198894
380,2600000,32980880
381,550000,5269990
382,15000000,316300000
383,28000000,333080271
384,8000000,90815558
385,18000000,26400000
386,27000000,21300000
387,30000000,295212467
388,11000000,148168459
389,25000000,5778353
390,1250000,4700000
391,8000000,62599495
392,7500000,5142858
393,1800000,25504513
394,18000000,51973029
395,10000000,8801940
396,6400000,78019031
397,15000000,15136870
398,48000000,25928721
399,45000000,27447471
400,27500000,27187653
402,3000000,21163999
403,1500000,2730877
404,19000000,385524862
405,1300000,210904
406,10000000,33000000
407,2200000,21930418
408,10000000,35073978
409,18000000,19739000
410,44000000,300400000
411,30000000,152627960
412,2000000,1663296
413,27000000,10618813
414,25000000,11603545
415,17900000,6905861
416,6900000,41410568
417,3500000,34004262
418,12000000,65532576
419,4000000,14237880
420,10000000,17536256
421,26000000,33200000
422,10000000,36230219
423,3000000,11052713
424,7000000,10803211
425,20000000,18400000
426,31000000,258210860
427,15000000,93589701
428,15000000,9930649
430,40000000,6341825
431,25000000,11100000
432,30000000,16295774
433,3000000,19472057
434,15000000,1953732
435,18000000,6734844
436,35000000,2000000
437,5000000,12947763
438,25000000,23506237
439,4500000,1500000
440,18000000,1305114
441,15000000,356800601
442,12000000,4984663
443,40000000,49851591
444,16000000,12900000
445,3000000,20966644
446,17000000,183316455
447,8000000,52287414
448,175000,7137502
449,4700000,8025872
450,17000000,2315000
451,8800000,328203506
452,18000000,41382841
453,10000000,52293000
454,24000000,133000000
455,12000000,79817937
456,30000000,38747385
457,6000000,137963328
458,2000000,7369373
459,2600000,3147950
460,350000,4000000
461,100000,5228617
462,10000000,3000000
463,3500000,14000000
464,16000000,14792779
465,5000000,44793222
466,25000000,76270454
467,3500000,5923044
468,4000000,800000
469,1100000,1355728
470,40000000,14375181
471,20000000,276665036
472,15000000,120192350
473,29000000,25899797
475,22700000,38119483
476,23000000,15728335
477,13000000,53424681
478,17000000,11227824
479,6500000,54215416
480,40000000,191200000
481,8500000,32222567
482,1900000,4600000
483,14000000,320100000
484,1000000,14564000
485,15000000,30857000
486,16500000,43848100
487,30000000,38122000
488,25000000,43988888
489,3000000,7888000
490,15000000,167780960
491,18000000,98267558
492,13000000,123922370
493,25000000,16118077
494,5000000,17768757
495,4000000,3468572
496,6200000,9205924
497,1500000,11806119
498,18000000,151668774
499,15000000,73326666
500,4000000,354704
501,4000000,13000000
502,4700000,1705139
503,2800000,19170001
504,58000000,188715611
505,14000000,239606210
506,70000000,351500000
507,28000000,139109346
508,30000000,81613606
509,3000000,7282851
510,13000000,49369899
511,9000000,44196684
512,16000000,13854000
513,15000000,216600000
514,9500000,14114000
515,6000000,12793213
516,12300000,81972846
517,32000000,59450353
518,7000000,20257000
519,6000000,14545844
520,13000000,44726644
521,7000000,8373585
522,25000000,412800000
523,14000000,34700000
524,15000000,10763469
525,16400000,239500000
526,10000000,40485039
527,18000000,7190505
528,1200000,36741667
529,11500000,57469179
530,10000000,30050028
531,48000000,474171806
532,35000000,411348924
533,6000000,26004026
534,11000000,49793054
535,42000000,156167015
536,16000000,92961960
537,5000000,6157157
538,5000000,14343976
539,1500000,14533681
540,9000000,10176701
541,30000000,70200000
542,70000000,54243125
543,19000000,58571513
544,30000000,45892212
545,6000000,11642254
546,6000000,22168359
547,30000000,95857262
548,40000000,332000000
549,18000000,26593580
550,7500000,106593296
551,20000000,10555348
552,14000000,70001698
553,140000,6706368
554,55000000,63408614
555,1600000,419428
556,65000000,261400000
557,10000000,16667084
558,30000000,200500000
559,7700000,882290
560,70000000,239814025
561,10000000,16153000
562,430000,2938000
563,14000000,432645872
564,13500000,202000000
565,3000000,15000000
566,40000000,244088654
567,50000000,41476097
568,47000000,162738726
569,60000000,157670733
570,20000000,53976987
571,22000000,517600000
572,31000000,53208180
573,19000000,424200000
574,13000000,34166572
575,25000000,46777347
576,7000000,4372561
577,26000000,61308153
578,20000000,21413105
579,4200000,5835247
580,49000000,20423389
581,15000000,476684675
582,35000000,54768418
583,26000000,202000000
584,54000000,66520529
586,11000000,2000000
587,8000000,2275557
588,500000,55000
589,450000,2712293
590,40000000,34416893
591,8500000,15024232
592,35000,321952
593,23000,1227508
594,35000000,14471440
595,14000000,34729091
596,100000000,513815401
597,20000000,275726716
598,25000000,78656813
599,25000000,9286314
600,65000000,17218916
601,27000000,96900000
602,50000000,390500000
603,23000000,86930411
604,20000000,37537675
605,7000000,5017971
606,23000000,7018525
607,6000000,773490
608,16000000,29090445
609,5000000,34872033
610,24000000,41798224
611,2500000,6401336
612,7000000,8824553
613,5000000,19438638
614,9000000,349618
615,70000000,300854823
616,20000000,451329842
617,35000000,182291969
618,30000000,191502246
619,16500000,58011485
620,24000000,83531958
621,6500000,56200634
622,40000000,205400000
623,30000000,74787599
624,11000000,81204830
625,7000000,5430822
626,42000000,131052444
627,40000000,132440066
628,42000000,66787173
629,10000000,50752337
630,20000000,183097323
631,35000000,4651977
632,40000000,14358033
633,11000000,52929168
634,8000000,26199377
635,5000000,1526697
636,45000000,178100000
637,35000000,319700000
638,55000000,158500000
639,10000000,32100816
